Title,Price,Star-Rating,Sales,Status,Best-Seller,Ratings-Count,Author
The Psychology Book By theworks,$4.46,5.0 out of 5 stars.,245 sold,Pre-Owned, ,4 product ratings, 
The Mountain Is You: Transforming Self-Sabotage into Self-Mastery by Brianna Wie,$6.99, , ,New (Other), , , 
Games People Play: The Psychology of Human Relationships By Eric,$3.07,5.0 out of 5 stars.,63 sold,Pre-Owned,Top Rated Seller,5 product ratings, 
military Books WW2 “psychology For The Fighting Man” “guerrilla Warfare “ Etc,$0.99, , ,Pre-Owned, , , 
"Psychology for Dummies by Cash, Adam Paperback Book The Cheap Fast Free Post",$5.08,5.0 out of 5 stars.,787 sold, , ,18 product ratings, 
"The Psychology Book,",$4.18,5.0 out of 5 stars.,153 sold,Pre-Owned, ,4 product ratings, 
"Mindset: The New Psychology of Success by Dweck, Carol S.",$4.09, ,203 sold,Pre-Owned, , ,"by Dweck, Carol S. "
Sarah Fergie Dark Psychology and Manipulation (Paperback),$12.25, , , ,Top Rated Seller, , 
Books by Genre 10 LBS~Pounds Lot Sorted Fiction/Nonfiction CHOOSE YOUR CATEGORY,$22.19 to $29.95, , ,Pre-Owned,Top Rated Seller, , 
Lot of 10 PSYCHOLOGY SELF HELP ESTEEM THERAPY RECOVERY INSPIRE Book MIX*UNSORTED,$22.19, ,485 sold, ,Top Rated Seller, , 
"Working with Emotional Intelligence,Daniel Goleman",$4.18,4.5 out of 5 stars.,117 sold,Brand New, ,3 product ratings, 
"The Confidence Gap,Russ Harris",$4.24, ,37 sold,Pre-Owned, , , 
C. G. Jung Synchronicity (Paperback) Bollingen Series,$12.22,5.0 out of 5 stars.,14 sold,Pre-Owned,Top Rated Seller,1 product rating, 
"The Psychology Book By Nigel Benson,Catherine Collin,Joannah Ginsburg,Voula Gra",$6.30,5.0 out of 5 stars.,166 sold,Pre-Owned, ,11 product ratings, 
3 Book Collection Set (medium) Power+ Atomic Habits and Psychology of Money PB,$21.49, , ,Pre-Owned,Top Rated Seller, , 
Introducing Psychology: A Graphic Guide to Your Mind and Behaviour  (Introducin,$3.20,5.0 out of 5 stars.,149 sold, , ,3 product ratings, 
"12 Rules for Life: An Antidote to Chaos by Peterson, Jordan B.",$6.95, , ,Brand New, , , 
Outliers: The Story of Success By Malcolm Gladwell. 9781846141218,$4.46,5.0 out of 5 stars.,141 sold,Pre-Owned, ,6 product ratings, 
"School & Textbooks, Education, Teaching & homeschooling Choose from great titles",$5.00 to $19.00, , ,Brand New,Top Rated Seller, , 
"Cant Hurt Me: Master Your Mind Defy the Odds by David Goggins, Paperback",$10.87, ,52 sold,Pre-Owned, , , 
The Happiness Advantage: The Seven Principles of Positive Psych .9780753539477,$9.01,5.0 out of 5 stars.,29 sold,Pre-Owned, ,7 product ratings, 
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",$9.75,5.0 out of 5 stars., ,Pre-Owned, ,122 product ratings, 
What We Fear Most: A Psychiatrist’s Journey to the Heart of Madn,$10.35, , ,Pre-Owned, , , 
Stendhal on Love (In English) paperback translation,$11.34, , ,Brand New,Top Rated Seller, , 
Critical Thinking for Active Math Minds TEACHER'S EDITION SADLIER-OXFORD Paperba,$29.00, , ,Pre-Owned, , , 
The Psychology of Money by Morgan Housel - Non Fiction - Paperback,$13.18,4.5 out of 5 stars.,54 sold,Pre-Owned,Top Rated Seller,13 product ratings, 
"How To Raise The Perfect Dog,",$2.57, ,59 sold,Pre-Owned, , , 
The Confidence Gap,$6.71, , ,Pre-Owned, , , 
"The Psychology of Money ,Deep work, Atomic Habits Paperback 3 book set",$20.42, , ,Pre-Owned,Top Rated Seller, , 
Surviving Childhood Trauma,$16.02, , ,Brand New, , , 
"Practical Optimism: The Art, Science, and Practice of Exceptional Well-Being by",$10.99,5.0 out of 5 stars., ,Pre-Owned, ,1 product rating, 
History of Psychology By Bridget Giles,$3.64, , ,Pre-Owned, , , 
The Psychopath Test By Jon Ronson. 9780330492263,$4.46,3.5 out of 5 stars.,70 sold,Brand New, ,3 product ratings, 
Conquer Your Negative Thoughts: The Secret to Emotional Freedom and Happiness,$9.21, , ,Brand New, , , 
Influence: The Psychology of Persuasion By Robert B. Cialdini,$10.82,5.0 out of 5 stars.,188 sold,New (Other), ,14 product ratings, 
Nick Trenton The Art of Letting Go (Paperback),$23.56, , ,Pre-Owned,Top Rated Seller, , 
The Individual Psychology of Alfred Adler 1956,$100.00, , ,Pre-Owned, , , 
The Choice By Edith Eger. 9781846045127,$5.07,5.0 out of 5 stars.,"1,196 sold",Pre-Owned, ,66 product ratings, 
Brian Tracy The Psychology of Selling (Paperback),$13.42,5.0 out of 5 stars., ,Pre-Owned,Top Rated Seller,2 product ratings, 
Retirement The Psychology Of Reinvention By Kenneth Schultz,$4.61,5.0 out of 5 stars.,48 sold, , ,2 product ratings, 
The Life and Work of Sigmund Freud by Ernest Jones,$30.00, , ,Brand New, , , 
The Power Of Positive Thinking By Norman Vincent Peale. 9780749307158,$6.56,4.5 out of 5 stars.,581 sold,Pre-Owned, ,43 product ratings, 
"Creativity: A Short and Cheerful Guide,John Cleese",$5.44,5.0 out of 5 stars.,20 sold,Pre-Owned, ,5 product ratings, 
The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever T,$6.69,5.0 out of 5 stars., , ,Top Rated Seller,9 product ratings, 
On the Psychology of Military Incompetence By Norman Dixon,$11.34, , ,Brand New,Top Rated Seller, , 
Psyche and Substance: Essays on Homeopathy in the Light of Jungian Psychology B,$10.58, , ,Pre-Owned,Top Rated Seller, , 
Non-Fiction Books Bundles Wholesale Job Lot. Mixed Genres. Up to 15kg Boxes.,$22.85, ,161 sold,Pre-Owned, , , 
Unnatural Causes: 'An absolutely brilliant book. I really recom .9781405923538,$4.61,4.5 out of 5 stars.,"1,162 sold",Pre-Owned, ,67 product ratings, 
The Organized Mind: Thinking Straight in the Age of Informatio ..9780241965788,$4.47,4.5 out of 5 stars.,99 sold,Pre-Owned, ,12 product ratings, 
"The Bedside Book Of Psychology,",$3.31, ,67 sold,Pre-Owned, , , 
Different: The Story of an Outside-the-Box Kid and the Mom who by Sally Clarkson,$7.97,5.0 out of 5 stars., ,Pre-Owned, ,3 product ratings, 
The Power of Positive Thinking by Dr. Norman Vincent Peale,$4.09,5.0 out of 5 stars.,157 sold,Pre-Owned, ,19 product ratings,by Dr. Norman Vincent Peale 
Communicate Your Feelings (without starting a fight): What to Say and What Not,$12.00, , ,Pre-Owned, , , 
Books by Genre 5 LBS (Pounds) Box Value Lot Sorted Hardback / Paperback MIX SET,$16.95 to $19.95, , ,Pre-Owned,Top Rated Seller, , 
AS-Level Psychology AQA A Complete Revision & Practice By CGP Books,$3.20, ,286 sold,Pre-Owned, , , 
"The Laws of Connection The Scientific Secrets of Building, David Robson",$6.57, , ,Pre-Owned, , , 
"Red Flags, Green Flags: Modern psychology for everyday drama by.-.Dr Ali Fenwick",$9.99, , ,Pre-Owned, , , 
Morgan Housel 2 Books Set: The Psychology Of Money & Same As Ever (English),$15.19, , , ,Top Rated Seller, , 
Dark Psychology and Manipulation: Dark Psychology and Manipulation: Discover 40,$20.61, ,99 sold,Pre-Owned, , , 
Mind Magic: The Neuroscience of Manifestation by  James R. Doty MD,$6.99, , ,Pre-Owned, , , 
Winning: The Unforgiving Race to Greatness by Tim S. Grover,$11.33, ,75 sold,Pre-Owned,Top Rated Seller, , 
